what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1362719908052
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1362719910819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362719952175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362719961679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720010798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362720012784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720057386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720057515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720060640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720060753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720062702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720062807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720067555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720067657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720075799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720077501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720078492
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1362720084013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720084021
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362720084051
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1362720084071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720087278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720101246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720104931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720107259
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362720111153
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1362720111256
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1362720112846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720116819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720127400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720127418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720130630
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1362720130651
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362720130832
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1362720131167
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1362720131284
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1362720131386
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1362720132358
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.commands.Inspect",1362720142461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720142528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720154450
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1362720171775
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepInto",1362720171848
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1362720172363
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1362720174994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720175083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720176896
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1362720179563
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1362720179628
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1362720186195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362720215035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362723156425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362723158222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362723158583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362723159771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362723197500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362723201609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362724844895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362724846339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362724852308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362724854382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362725665362
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362725668125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362725673779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362725676849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362725677280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362725678884
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1362725681271
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1362725681350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362725686083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362725707688
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362725707729
